,cluster,count,total_paid_median,total_paid_mean,total_paid_std,total_claims_median,total_claims_mean,total_claims_std,paid_per_claim_median,paid_per_claim_mean,paid_per_claim_std,paid_per_beneficiary_median,paid_per_beneficiary_mean,paid_per_beneficiary_std,n_unique_hcpcs_median,n_unique_hcpcs_mean,n_unique_hcpcs_std,n_servicing_npis_median,n_servicing_npis_mean,n_servicing_npis_std,n_years_active_median,n_years_active_mean,n_years_active_std,n_months_active_median,n_months_active_mean,n_months_active_std
294,293,222,242726.735,4944518.752342343,40042794.47148897,7131.5,104931.11261261262,786402.2634654569,33.097739432295384,66.9214324318937,316.60995247362155,38.488194500251126,79.08097336453555,395.5572334542948,10.0,13.86936936936937,20.409075670795385,1.0,1.9594594594594594,11.358142401005404,6.0,4.963963963963964,2.3357459414002903,57.5,50.648648648648646,32.891745831848816
295,294,122,667819.34,1670115.488114754,3468095.9171432466,10562.0,122806.40983606558,467360.8331461751,44.93384130496739,99.49680455557662,134.19849640916235,221.26679700521817,351.2846144436608,234.82924610721008,1.0,1.040983606557377,0.29868972772434377,1.0,0.9590163934426229,0.8069690356651991,5.0,4.409836065573771,1.9948450026189115,51.0,42.82786885245902,25.849114831448958
296,295,292,550144.4450000001,1913051.0086986304,8120011.455598079,7433.0,58399.818493150684,263489.24677162775,87.19300220643157,111.84797172679265,129.0578708663313,360.9565294118638,395.3030426621045,295.42624907050447,1.0,1.2431506849315068,0.7771131292829837,1.0,0.928082191780822,1.2233267217450114,5.0,4.345890410958904,1.993171391058613,47.0,40.92123287671233,25.098239170733777
297,296,175,7093.950000000001,32847.61251428571,61752.842202057385,506.0,1638.52,2653.188855247435,18.5057519640853,18.639754769703604,9.12482811352581,38.38044805376646,40.22219964432251,20.2751485500583,1.0,1.3657142857142857,0.8663381971962131,1.0,1.2342857142857142,0.7404343464119365,3.0,3.422857142857143,2.2421107812364287,12.0,24.542857142857144,26.953283186811223
298,297,493,2741.77,130232.35726166327,1097691.9613948818,54.0,2207.705882352941,16949.36728430048,59.39692307692307,66.4744833444034,82.96931724777068,63.91538461538461,75.07096635338867,140.53385733520003,1.0,1.817444219066937,1.4702814700079814,1.0,2.6734279918864097,15.47804778468469,1.0,2.176470588235294,1.7563167406660263,3.0,10.79918864097363,18.439922208286998
299,298,343,4407.59,23683.627113702627,55117.27205950975,202.0,836.2157434402333,2109.747095535348,28.07496855345912,35.20793448223141,35.021283961647526,82.26,121.57555424021453,135.8952327554412,1.0,1.1982507288629738,1.1088676992221074,1.0,1.2244897959183674,1.005415578029654,1.0,2.072886297376093,1.425722185487702,4.0,9.830903790087463,12.70172807000689
300,299,594,5219.150000000001,28618.26563973064,89657.69231643651,194.0,656.6885521885522,1456.2489000826167,27.566801470588235,36.33180162447513,29.100319406770538,88.24737764127764,122.57160270202294,112.46061377915743,1.0,1.1515151515151516,0.6777151828597625,1.0,1.1936026936026936,0.8281877350650089,2.0,2.2104377104377106,1.513678657967854,4.0,9.328282828282829,13.284726350711885
301,300,291,0.0,16748.295395189005,234317.17270173965,100.0,1292.6323024054982,5512.298352760807,0.0,1.3500371436974163,16.58096625922535,0.0,11.414942364382693,183.8189666021505,2.0,3.797250859106529,7.281302886606746,1.0,1.1649484536082475,1.4599037217036421,1.0,1.7697594501718212,1.272485868983952,3.0,7.453608247422681,11.98592906521419
302,301,325,0.0,24459.64178461539,247097.8616740386,100.0,1363.3815384615384,9740.442339292927,0.0,13.348254105225513,142.3274924155798,0.0,22.696981065365538,208.29267812541863,2.0,3.043076923076923,3.770170822945299,1.0,1.0092307692307692,0.5298855795786427,1.0,1.606153846153846,1.102169146778369,2.0,5.864615384615385,9.74236691981879
303,302,123,72739.72,141924.4369918699,176164.81972205732,1041.0,1696.2113821138212,2016.2885082234577,84.9771293800539,86.63276649986408,29.79469656924041,189.4720744680851,210.30300438570552,94.71678372817809,2.0,2.105691056910569,0.3086992310441253,1.0,1.3170731707317074,1.1402981575205595,4.0,3.926829268292683,1.9041401471845387,22.0,28.642276422764226,21.353054866985012
